sample_n,val_idx,benchmark,run_a_mse,run_b_hybrid
1,394,0.038512,0.050232,0.054375
2,430,0.044897,0.060336,0.071031
3,41,0.040633,0.052662,0.055747
4,265,0.042364,0.063799,0.078358
5,523,0.058633,0.073747,0.075720
6,497,0.043972,0.058568,0.062058
7,414,0.039219,0.048272,0.049101
8,310,0.041097,0.052606,0.056560
9,488,0.043415,0.053038,0.055585
10,366,0.041861,0.056660,0.061930
11,597,0.042334,0.055097,0.062630
12,223,0.037605,0.048239,0.050662
13,516,0.046568,0.059072,0.067545
14,142,0.041819,0.050822,0.052807
15,288,0.045747,0.061092,0.066404
